sic_section,mean_gender_pay_gap,firm_count,avg_hourly_pay,female_employment_2024
A,9.291747368421053,988,15.76,79.0
C,9.049329589303222,1428,21.02,774.75
F,19.497963525835868,329,22.36,297.75
G,12.214691366906475,973,18.14,1669.5
H,8.854466501240694,403,19.92,374.5
I,5.288937722419928,562,14.22,896.25
J,14.706410256410257,624,28.5,490.75
K,22.5421875,512,34.98,632.5
L,12.56910447761194,134,20.42,213.0
M,15.39016414141414,792,26.62,1356.75
N,9.621681205444444,1206,18.97,678.75
O,5.369705882352941,34,21.35,1415.25
P,15.42939042957043,1001,22.28,2469.5
Q,6.154103664921466,764,20.15,3772.0
